proper TS names,alternate names,,,,,
dataSetName,paleoArchiveName,,,,,
studyName,studyTitle,,,,,
originalDataURL,dataURL,,,,,
dataContributor,whoEnteredinDB,MetadataEnteredByWhom,,,,
archiveType,paleoData_archive,paleoDataArchive,Archive,,,
investigators,investigator,,,,,
collectionName,,,,,,
warnings,,,,,,
notes,,,,,,
googleMetadataWorksheet,,,,,,
googleSpreadSheetKey,,,,,,
tagMD5,,,,,,
metadataMD5,,,,,,
LiPDVersion,,,,,,
dataAcquisitionNotes,DataAquisitionNotes,,,,,
,,,,,,
isotopeInterpretation_integrationTimeUnits,isotopeInterpretation_integrationTimeUnit,isotopeInterpretation_integrationTimeUnit_WARNING_WeFeelThoseLi,,,,
isotopeInterpretation_integrationTimeUncertainty,isotopeInterpretation_integrationTimeUncertainty,isotopeInterpretation_integrationTimeUncertainty_WARNING_HowWeD,,,,
isotopeInterpretation_integrationTimeUncertaintyType,isotopeInterpretation_integrationTimeUncertaintyType,isotopeInterpretation_integrationTimeUncertaintyType_WARNING_Ho,,,,
isotopeInterpretation_integrationTimeBasis,isotopeInterpretation_integrationTimeBasis,isotopeInterpretation_integrationTimeBasis_weCouldAddARowWithTh,,,,
isotopeInterpretation_independentVariable1_name,isotopeInterpretation_independentParameter1_name,isotopeInterpretation_independentParameter1_name_WARNING_Should,,,,
isotopeInterpretation_independentVariable1_rank,isotopeInterpretation_independentParameter1_rank,,,,,
isotopeInterpretation_independentVariable1_fraction,isotopeInterpretation_independentParameter1_fraction,,,,,
isotopeInterpretation_independentVariable1_coefficient,isotopeInterpretation_independentParameter1_coefficient,,,,,
isotopeInterpretation_independentVariable1_seasonality,isotopeInterpretation_independentParameter1_seasonality,,,,,
isotopeInterpretation_independentVariable1_direction,isotopeInterpretation_independentParameter1_direction,,,,,
isotopeInterpretation_independentVariable1_mathematicalRelation,isotopeInterpretation_independentParameter1_mathematicalRelatio,,,,,
isotopeInterpretation_independentVariable1_basis,isotopeInterpretation_independentParameter1_basis,,,,,
isotopeInterpretation_independentVariable2_name,isotopeInterpretation_independentParameter2_name,,,,,
isotopeInterpretation_independentVariable2_rank,isotopeInterpretation_independentParameter2_rank,,,,,
isotopeInterpretation_independentVariable2_fraction,isotopeInterpretation_independentParameter2_fraction,,,,,
isotopeInterpretation_independentVariable2_coefficient,isotopeInterpretation_independentParameter2_coefficient,,,,,
isotopeInterpretation_independentVariable2_seasonality,isotopeInterpretation_independentParameter2_seasonality,,,,,
isotopeInterpretation_independentVariable2_direction,isotopeInterpretation_independentParameter2_direction,,,,,
isotopeInterpretation_independentVariable2_mathematicalRelation,isotopeInterpretation_independentParameter2_mathematicalRelatio,,,,,
isotopeInterpretation_independentVariable2_basis,isotopeInterpretation_independentParameter2_basis,,,,,
isotopeInterpretation_independentVariable3_name,isotopeInterpretation_independentParameter3_name,,,,,
isotopeInterpretation_independentVariable3_rank,isotopeInterpretation_independentParameter3_rank,,,,,
isotopeInterpretation_independentVariable3_fraction,isotopeInterpretation_independentParameter3_fraction,,,,,
isotopeInterpretation_independentVariable3_coefficient,isotopeInterpretation_independentParameter3_coefficient,,,,,
isotopeInterpretation_independentVariable3_seasonality,isotopeInterpretation_independentParameter3_seasonality,,,,,
isotopeInterpretation_independentVariable3_direction,isotopeInterpretation_independentParameter3_direction,,,,,
isotopeInterpretation_independentVariable3_mathematicalRelation,isotopeInterpretation_independentParameter3_mathematicalRelatio,,,,,
isotopeInterpretation_independentVariable3_basis,isotopeInterpretation_independentParameter3_basis,,,,,
,,,,,,
proxySystemModel_sensorModel,,,,,,
proxySystemModel_archiveModel,,,,,,
proxySystemModel_observationModel,,,,,,
,,,,,,
modernSystem_instrumentalDatasetURL,,,,,,
modernSystem_instrumentalDatasetCoordinates,,,,,,
modernSystem_description,,,,,,
